match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
SIGO0vn6,correct,id_match,Krueger A.,O81eud9p,Baptiste H.,Cjagsdf4,Krueger A.,O81eud9p,Baptiste H.,Cjagsdf4,,,,,,,3,6,2,6,,,1:40,0:54,0:46,,"10:10 AM, January 27, 2022",HARD,
SIjU35ut,correct,id_match,Zakharova A.,pQGynuhR,Melnikova M.,pEa6LCHl,Zakharova A.,pQGynuhR,Melnikova M.,pEa6LCHl,,,,,,,6,1,4,6,6,1,1:52,0:35,0:49,0:28,"06:05 PM, January 05, 2022",HARD,
SKkU6gm8,correct,id_match,Strakhova V.,dO8fjQAB,Riera J.,K4Sih0XH,Strakhova V.,dO8fjQAB,Riera J.,K4Sih0XH,,,,,,,6,4,3,6,4,6,2:11,0:45,0:39,0:47,"09:10 AM, August 09, 2023",HARD,
SM4vNFCF,correct,id_match,Barthel M.,xYVwkuJR,Naef C.,0pESKoy5,Barthel M.,xYVwkuJR,Naef C.,0pESKoy5,,,4,7,,,6,3,6,7,6,3,1:53,0:31,0:42,0:40,"09:35 AM, March 28, 2024",HARD,
SMlYsY5s,correct,id_match,Mateas M.,AqzhGvlR,Cross K.,bNv93cUs,Mateas M.,AqzhGvlR,Cross K.,bNv93cUs,,,7,3,,,6,3,7,6,,,2:02,0:47,1:15,,"01:10 PM, July 21, 2024",HARD,
SOXq64e9,correct,id_match,Savinykh V.,UPNUJjU4,Bondar A.,O8s9yjMD,Savinykh V.,UPNUJjU4,Bondar A.,O8s9yjMD,,,,,,,0,6,1,6,,,0:57,0:23,0:34,,"12:15 PM, February 21, 2024",HARD,
SQWXtSm4,correct,id_match,Paquet C.,GhrNHJ5h,Oz I.,Oxue6Cgb,Paquet C.,GhrNHJ5h,Oz I.,Oxue6Cgb,,,,,,,6,1,4,6,6,3,2:53,0:40,1:05,1:08,"06:10 AM, September 02, 2023",CLAY,
SSZwct9j,correct,id_match,Akli A.,lYIXolpg,Szostak M.,fVx4UfUB,Akli A.,lYIXolpg,Szostak M.,fVx4UfUB,,,,,,,6,2,4,6,1,6,2:03,0:44,0:43,0:36,"06:10 AM, September 09, 2025",HARD,
SUE21fAg,correct,id_match,Gorgodze E.,vPEmPARA,Krejcova T.,61D9N5Sr,Gorgodze E.,vPEmPARA,Krejcova T.,61D9N5Sr,,,,,,,6,1,6,1,,,1:02,0:32,0:30,,"06:50 AM, August 29, 2023",CLAY,
SW1QneF1,correct,id_match,Scholl C.,nBBHFxsg,Burillo Escorihuela I.,YZQnwtm9,Scholl C.,nBBHFxsg,Burillo Escorihuela I.,YZQnwtm9,,,,,,,6,4,3,6,2,6,2:08,0:48,0:44,0:36,"09:10 AM, August 31, 2022",CLAY,
